2021-04-04T09:50,3,39,0,1,QRTZ890,a@yoklok,unpaid,confirmed
2021-04-09T15:50,6,3,1,200,QRTZ891,t1@yorku.ca,unpaid,confirmed
2021-04-03T09:50,1,1,2,15,QRTZ892,up@yup,paid,confirmed
2021-04-05T09:50,2,30,3,96,QRTZ894,a@yoklok,unpaid,confirmed
2021-04-08T09:50,3,30,4,12,QRTZ897,a@yoklok,paid,unconfirmed
2021-08-01T00:00,4,1,5,63,jklh903,t1@yorku.ca,unpaid,unconfirmed
2021-09-01T00:00,4,1,6,63,jklh903,t1@yorku.ca,unpaid,unconfirmed
2021-04-13T00:00,1,1,7,56,6325,t1@yorku.ca,paid,unconfirmed
2021-04-11T12:00,2,1,8,563,123ASDF,t5@yorku.ca,paid,unconfirmed
2021-04-10T12:00,1,9,9,563,63952,t5@yorku.ca,paid,unconfirmed
2021-04-10T04:00,1,1,10,563,6933,t5@yorku.ca,paid,unconfirmed
